restaurant_name_clean,combined_cost_deliveroo,combined_cost_takeaway,delivery_fee_deliveroo,delivery_fee_takeaway,min_order_deliveroo,min_order_takeaway,rating_deliveroo,rating_takeaway,rating_count_deliveroo,rating_count_takeaway,total_delivery_time_deliveroo,total_delivery_time_takeaway,weighted_rating_deliveroo,weighted_rating_takeaway
pitta sena,14.99,23.59,4.99,5.59,10.0,18.0,3.7,3.3,113.0,685.0,27.0,40.0,3.7920245398773007,3.3476190476190477
pizza altamira,9.99,40.0,4.99,0.0,5.0,40.0,4.2,4.5,80.0,2542.0,93.22,42.5,4.123076923076923,4.490354938271605
pizza factory,9.99,35.0,4.99,0.0,5.0,35.0,4.3,4.5,500.0,22.0,33.38,27.5,4.2727272727272725,4.152777777777778
pizza fresca woluwe,9.99,18.84,4.99,3.84,5.0,15.0,4.3,3.5,373.0,8.0,32.35,50.0,4.264539007092198,3.9310344827586206
pizza gulhan,9.99,19.84,4.99,4.84,5.0,15.0,4.2,4.0,297.0,452.0,27.52,45.0,4.1711815561959655,4.0
pizza hoot,9.99,10.0,4.99,0.0,5.0,10.0,4.0,3.9,5.0,5.0,41.74,55.0,4.0,3.9909090909090907
pizza hut,9.99,16.99,4.99,1.99,5.0,15.0,4.135294117647058,3.9,361.0,231.0,37.64705882352941,32.5,4.1181209032818815,3.9177935943060502
pizza italia,10.0,31.795,5.0,2.795,5.0,29.0,4.3,3.9,110.0,506.5,46.87,66.25,4.20625,3.9806451612903224
pizza overpoort,9.99,19.84,4.99,4.84,5.0,15.0,4.1,4.3,293.0,94.0,29.63,50.0,4.085422740524781,4.195833333333334
pizza pasta locale,25.01,25.0,0.01,0.0,25.0,25.0,4.2,4.4,26.0,264.0,40.69,52.5,4.068421052631579,4.336305732484077
pizza roma,9.99,17.5,4.99,0.25,5.0,17.25,3.8,3.6999999999999997,58.0,2238.75,27.55,34.375,3.8925925925925924,3.71314993409704
pizza sole mio,9.99,5.0,4.99,0.0,5.0,5.0,4.0,2.5,247.0,2255.0,36.86,57.5,4.0,2.5325379609544467
pizzaria mr. sebino,19.99,18.0,4.99,0.0,15.0,18.0,3.7,3.8,182.0,337.0,48.2,42.5,3.764655172413793,3.8258397932816535
pizzeria l'ami,9.99,20.0,4.99,0.0,5.0,20.0,4.2,4.2,67.0,26.0,47.44,32.5,4.114529914529915,4.068421052631579
pizzeria number one,9.99,20.0,4.99,0.0,5.0,20.0,4.3,4.1,24.0,687.0,29.84,52.5,4.097297297297297,4.093215739484396
place 2 eat,9.99,50.0,4.99,0.0,5.0,50.0,4.7,3.8,22.0,335.0,36.81,42.5,4.213888888888889,3.825974025974026
